Interval=	2.5e-005 s																					
ExcelDateTime=	4.46E+04	17:28.0																				
TimeFormat=	StartOfBlock																					
DateFormat=																						
ChannelTitle=	Stimulus	BioAmp Recording																				
Range=	1000.0 mV	500.0 ?V																				
0.00705	0.4375	-112.375																				
0.007075	0.4375	-112.9531																		Interval=	2.5e-005 s	
0.0071	0.4375	-113.5469																		ExcelDateTime=	4.46E+04	22:23.7
0.008075	0.53125	-179.3438																		0.0079	0.40625	-16.0625
0.0081	0.46875	-197.5469																		0.0079	0.40625	-17.6875
0.008125	0.375	-223.8594																		0.0080	0.40625	-19.32813
0.00815	0.375	-258.0938																		0.0080	0.40625	-20.95313
0.008175	0.40625	-298.3594																		0.0080	512.4375	-22.67188
0.0082	0.375	-341.5781																		0.0080	0.4375	-25.07813
0.008225	0.375	-384.2188																		0.0081	0.46875	-29.82813
0.00825	0.375	-422.4219																		0.0081	0.46875	-39.45313
0.008275	0.40625	-452.3594																		0.0081	0.4375	-56.53125
0.0083	0.40625	-471.0938																		0.0081	0.40625	-83.5
0.008325	0.40625	-476.5938																		0.0082	0.40625	-121.7188
0.00835	0.40625	-467.5938																		0.0082	0.4375	-170.3125
0.008375	0.40625	-443.9844																		0.0082	0.4375	-225.5
0.0084	0.40625	-407.125																		0.0082	0.40625	-281.6094
0.008425	0.40625	-359.8281																		0.0083	0.40625	-332.25
0.00845	0.40625	-305.8125																		0.0083	0.40625	-371.2031
0.008475	0.40625	-249.375																		0.0083	0.4375	-393.5313
0.0085	0.40625	-194.6563																		0.0083	0.4375	-397.1406
0.008525	0.40625	-145																		0.0084	0.4375	-382.7188
0.00855	0.40625	-102.5313																		0.0084	0.4375	-353.1094
0.008575	0.40625	-68.29688																		0.0084	0.4375	-312.4375
0.0086	0.40625	-42.375																		0.0084	0.4375	-265.5
0.008625	0.40625	-24.17188																		0.0085	0.4375	-216.9219
0.00865	0.40625	-12.6875																		0.0085	0.4375	-170.4688
0.008675	0.40625	-6.75																		0.0085	0.4375	-128.7188
0.0087	0.40625	-5.15625																		0.0085	0.4375	-93.20313
0.008725	0.40625	-6.828125																		0.0086	0.4375	-64.48438
0.00875	0.40625	-10.76563																		0.0086	0.4375	-42.39063
0.008775	0.40625	-16.17188																		0.0086	0.40625	-26.29688
0.0088	0.40625	-22.42188																		0.0086	0.40625	-15.35938
0.008825	0.40625	-29.03125																		0.0087	0.40625	-8.578125
0.00885	0.40625	-35.67188																		0.0087	0.40625	-5.046875
0.008875	0.40625	-42.125																		0.0087	0.40625	-3.921875
0.0089	0.4375	-48.28125																		0.0087	0.40625	-4.515625
0.008925	0.40625	-54.09375																		0.0088	0.40625	-6.234375
0.00895	0.40625	-59.59375																		0.0088	0.40625	-8.71875
0.008975	0.40625	-64.82813																		0.0088	0.40625	-11.60938
0.009	0.40625	-69.84375																		0.0088	0.40625	-14.70313
0.009025	0.40625	-74.73438																		0.0089	0.40625	-17.875
0.00905	0.40625	-79.54688																		0.0089	0.40625	-21.01563
