Interval=	0.0025 s
ExcelDateTime=	4.6071576883843394e+004	2/18/2026 13:50:42.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
238.135	-48.5625
238.1375	-51.2625
238.14	-49.425
238.1425	-45.2
238.145	-42.1125
238.1475	-41.5625
238.15	-41.65625
238.1525	-39.025
238.155	-31.63125
238.1575	-21.36875
238.16	-12.8625
238.1625	-9.28125
238.165	-10.05
238.1675	-11.9125
238.17	-11.2125
238.1725	-6.5375
238.175	0.05
238.1775	4.56875
238.18	5.09375
238.1825	3.34375
238.185	1.80625
238.1875	1.84375
238.19	3.7875
238.1925	7.05
238.195	10.14375
238.1975	10.84375
238.2	7.3125
238.2025	-0.08125
238.205	-8.6
238.2075	-15.1375
238.21	-19.1875
238.2125	-23.475
238.215	-30.21875
238.2175	-37.99375
238.22	-43.14375
238.2225	-43.99375
238.225	-42.1
238.2275	-39.55
238.23	-36.9625
238.2325	-33.4
238.235	-27.58125
238.2375	-19.5
238.24	-11.3875
238.2425	-5.925
238.245	-3.25625
238.2475	-1.50625
238.25	0.51875
238.2525	2.50625
238.255	3.84375
238.2575	4.575
238.26	6.05
238.2625	9.49375
238.265	14.11875
238.2675	17.74375
238.27	18.69375
238.2725	17.28125
238.275	15.10625
238.2775	13.26875
238.28	11.33125
238.2825	8.9875
238.285	7.55625
238.2875	7.925
238.29	8.7875
238.2925	7.2125
238.295	1.13125
238.2975	-8.45
238.3	-17.8625
238.3025	-24.175
238.305	-26.4375
238.3075	-25.03125
238.31	-22.775
238.3125	-23.2625
238.315	-26.4375
238.3175	-28.8
238.32	-28.45625
238.3225	-26.65
238.325	-25.01875
238.3275	-23.575
238.33	-21.18125
238.3325	-17.35625
238.335	-13.2
238.3375	-9.76875
238.34	-6.54375
238.3425	-2.725
238.345	1.29375
238.3475	4.61875
238.35	6.65
238.3525	7.2625
238.355	7.075
238.3575	6.6375
238.36	5.8625
238.3625	4.85625
238.365	4.26875
238.3675	4.68125
238.37	6.125
238.3725	7.7375
238.375	7.775
