Interval=	0.0025 s
ExcelDateTime=	4.6071577265787841e+004	2/18/2026 13:51:15.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
271.1075	-1.3875
271.11	6.0375
271.1125	16.43125
271.115	24.1
271.1175	21.55625
271.12	8.1625
271.1225	-8.4375
271.125	-20.54375
271.1275	-26.85625
271.13	-30.3625
271.1325	-34.20625
271.135	-39.50625
271.1375	-44.1
271.14	-44.6125
271.1425	-41.14375
271.145	-37.51875
271.1475	-36.10625
271.15	-36
271.1525	-36.30625
271.155	-37.88125
271.1575	-40.7
271.16	-42.89375
271.1625	-42.74375
271.165	-40.48125
271.1675	-38.2625
271.17	-37.71875
271.1725	-38.075
271.175	-37.05
271.1775	-34.575
271.18	-33.4125
271.1825	-35.125
271.185	-38.4375
271.1875	-41.54375
271.19	-42.74375
271.1925	-40.66875
271.195	-36.3375
271.1975	-32.225
271.2	-29.65625
271.2025	-29.35
271.205	-31.71875
271.2075	-35.09375
271.21	-37.01875
271.2125	-37.9
271.215	-39.45625
271.2175	-41.31875
271.22	-41.54375
271.2225	-39.1625
271.225	-35.33125
271.2275	-32.43125
271.23	-31.275
271.2325	-30.39375
271.235	-29.05625
271.2375	-28.2375
271.24	-28.18125
271.2425	-27.53125
271.245	-25.25625
271.2475	-21.78125
271.25	-18.625
271.2525	-16.525
271.255	-14.2375
271.2575	-10.675
271.26	-6.61875
271.2625	-4.225
271.265	-5.60625
271.2675	-10.50625
271.27	-15.9
271.2725	-18.9875
271.275	-19.7875
271.2775	-19.86875
271.28	-20.36875
271.2825	-21.6875
271.285	-24.225
271.2875	-27.40625
271.29	-28.7875
271.2925	-26.025
271.295	-19.05625
271.2975	-10.5375
271.3	-5.71875
271.3025	-9.40625
271.305	-19.75625
271.3075	-28.46875
271.31	-30.55625
271.3125	-29.1125
271.315	-28.34375
271.3175	-28.3125
271.32	-28.29375
271.3225	-29.425
271.325	-32.3875
