Interval=	0.0025 s
ExcelDateTime=	4.3516512530854234e+004	2/20/2019 12:18:02.665806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.37	22.6375
1.3725	17.74375
1.375	23.78125
1.3775	33.26875
1.38	34.4
1.3825	21.19375
1.385	-1.275
1.3875	-21.1625
1.39	-28.575
1.3925	-20.6625
1.395	-4.025
1.3975	8.20625
1.4	7.75
1.4025	-1.6375
1.405	-10.3125
1.4075	-11.83125
1.41	-4.475
1.4125	7.76875
1.415	15.1625
1.4175	10.625
1.42	-1.79375
1.4225	-11.4625
1.425	-12.4
1.4275	-6.5375
1.43	-0.79375
1.4325	-2.65
1.435	-13.84375
1.4375	-27.075
1.44	-32.26875
1.4425	-25.6125
1.445	-11.28125
1.4475	2.49375
1.45	8.925
1.4525	6.2875
1.455	-0.2375
1.4575	-2.3
1.46	3.2375
1.4625	11.5
1.465	15.0375
1.4675	9.64375
1.47	-1.4375
1.4725	-8.375
1.475	-4.01875
1.4775	9.01875
1.48	21.3
1.4825	24.95
1.485	18.725
1.4875	8.0625
1.49	1.21875
1.4925	3.40625
1.495	12.3
1.4975	20.1
1.5	20.3
1.5025	13
1.505	4.85
1.5075	2.80625
1.51	9.00625
1.5125	20.83125
1.515	32.9125
1.5175	36.475
1.52	24.5375
1.5225	2.3
1.525	-16.1125
1.5275	-22.4875
1.53	-20.63125
1.5325	-19.71875
1.535	-24.775
1.5375	-31.61875
1.54	-32.68125
1.5425	-25.8
1.545	-15.5125
1.5475	-7.33125
1.55	-3.3625
1.5525	-4.50625
1.555	-9.325
1.5575	-10.6375
1.56	-3.08125
1.5625	7.4375
1.565	9.775
1.5675	0.10625
1.57	-15.075
1.5725	-25.3125
1.575	-24.025
1.5775	-12.66875
1.58	-0.2125
1.5825	3.38125
1.585	-4.2625
1.5875	-16.325
1.59	-22.95
1.5925	-19.00625
1.595	-8.08125
1.5975	0.35
1.6	-0.5125
1.6025	-8.8625
1.605	-16.225
1.6075	-14.9125
1.61	-5.11875
1.6125	5.09375
1.615	7.74375
1.6175	1.43125
1.62	-8.525
1.6225	-13.46875
1.625	-7.91875
1.6275	5.26875
1.63	15.975
1.6325	15.50625
1.635	4.68125
1.6375	-7.825
1.64	-13.60625
1.6425	-10.05625
1.645	-0.31875
1.6475	8.675
1.65	10.00625
1.6525	1.6375
1.655	-10.5125
1.6575	-16.975
1.66	-14.45
1.6625	-8.80625
1.665	-7.61875
1.6675	-12.61875
1.67	-19.80625
1.6725	-22.825
1.675	-17.61875
1.6775	-7.10625
1.68	0.24375
1.6825	-1.7125
1.685	-12.15
1.6875	-23.95
1.69	-28.7125
1.6925	-24.0375
1.695	-14.91875
1.6975	-8.04375
1.7	-7.45
1.7025	-13.73125
1.705	-21.4
1.7075	-21.13125
1.71	-10.875
1.7125	-0.45
1.715	-0.2375
1.7175	-10.525
1.72	-24.575
1.7225	-34.11875
1.725	-32.91875
1.7275	-21.55
1.73	-8.30625
1.7325	-1.35625
1.735	-1.11875
1.7375	-1.89375
1.74	0.35625
1.7425	4.16875
1.745	5.475
1.7475	1.5
1.75	-7.625
1.7525	-18.2875
1.755	-23.7875
1.7575	-19.26875
1.76	-7.18125
1.7625	4.21875
1.765	7.7
1.7675	1.1875
1.77	-11.05625
1.7725	-19.5375
1.775	-16.78125
1.7775	-3.60625
1.78	11.34375
1.7825	18.60625
1.785	14.6125
1.7875	4.0375
1.79	-3.53125
1.7925	-1.70625
1.795	6.2875
1.7975	10.98125
1.8	7.53125
1.8025	-0.89375
1.805	-6.55625
1.8075	-3.3375
1.81	7.05
1.8125	15.85
1.815	15.81875
1.8175	7.00625
1.82	-4.53125
1.8225	-11.21875
1.825	-9.46875
1.8275	-1.3875
1.83	6.41875
1.8325	7.05625
