Interval=	0.0025 s
ExcelDateTime=	4.3516510790784792e+004	2/20/2019 12:15:32.323806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.2525	-30.58125
1.255	-19.13125
1.2575	-17.11875
1.26	-23.875
1.2625	-32.2375
1.265	-34.55625
1.2675	-28.3625
1.27	-18.53125
1.2725	-13.9375
1.275	-19.3125
1.2775	-29.7
1.28	-34.86875
1.2825	-29.25
1.285	-16.5625
1.2875	-6.15625
1.29	-5.10625
1.2925	-13.85
1.295	-25.675
1.2975	-30.63125
1.3	-23.8125
1.3025	-10.40625
1.305	-1.93125
1.3075	-5.2875
1.31	-16.85625
1.3125	-27.3625
1.315	-29.39375
1.3175	-22.74375
1.32	-15.18125
1.3225	-14.1125
1.325	-19.975
1.3275	-29.96875
1.33	-39.59375
1.3325	-42.64375
1.335	-37.4875
1.3375	-30.95
1.34	-31.31875
1.3425	-40.025
1.345	-50.4375
1.3475	-53.2125
1.35	-44.60625
1.3525	-30.53125
1.355	-21.9
1.3575	-24.6375
1.36	-35.075
1.3625	-45.65625
1.365	-51.475
1.3675	-50.9
1.37	-46.1625
1.3725	-43.6375
1.375	-48.1875
1.3775	-58.06875
1.38	-66.44375
1.3825	-67.66875
1.385	-62.53125
1.3875	-57.46875
1.39	-58.13125
1.3925	-64.81875
1.395	-73.9625
1.3975	-80.6625
1.4	-80.30625
1.4025	-72.41875
1.405	-64.2875
1.4075	-65.0375
1.41	-74.25625
1.4125	-81.275
1.415	-77.15625
1.4175	-64.4125
1.42	-52.8375
1.4225	-49.13125
1.425	-53.76875
1.4275	-62.59375
1.43	-68.21875
1.4325	-64.825
1.435	-53.0375
1.4375	-40.1125
1.44	-34.55
1.4425	-38.50625
1.445	-45.95
1.4475	-48.91875
1.45	-44.45625
1.4525	-36.9125
1.455	-34.31875
1.4575	-40.05625
1.46	-49.7875
1.4625	-55.8625
1.465	-53.05
1.4675	-42.85
1.47	-33.875
1.4725	-34.2375
1.475	-43.33125
1.4775	-54.8
1.48	-62.6125
1.4825	-63.075
1.485	-57.4
1.4875	-51.95625
1.49	-51.15625
1.4925	-55.11875
1.495	-62.68125
1.4975	-69.85
1.5	-71.35
1.5025	-67.40625
1.505	-62.88125
1.5075	-60.9375
1.51	-62.5125
1.5125	-66.04375
1.515	-65.6625
1.5175	-56.625
1.52	-44.46875
1.5225	-40.20625
1.525	-47.3375
1.5275	-60.1625
1.53	-70.325
1.5325	-71.54375
1.535	-63.05625
1.5375	-52.01875
1.54	-48.2625
1.5425	-54.36875
1.545	-63.475
1.5475	-68.00625
1.55	-65.16875
1.5525	-55.98125
1.555	-46.86875
1.5575	-46.5375
1.56	-56.31875
1.5625	-67.0375
1.565	-68.275
1.5675	-58.8625
1.57	-46.875
1.5725	-41.3375
1.575	-44.875
1.5775	-52.98125
1.58	-58.48125
1.5825	-57.19375
1.585	-50.01875
1.5875	-41.81875
1.59	-38.225
1.5925	-41.56875
1.595	-48.78125
1.5975	-53.15625
1.6	-50.9625
1.6025	-45.56875
1.605	-44.28125
1.6075	-50.96875
1.61	-62.11875
1.6125	-69.35625
1.615	-66.8
1.6175	-56.1625
1.62	-44.93125
1.6225	-40.825
1.625	-45.925
1.6275	-55.25
1.63	-60.9875
1.6325	-58.84375
1.635	-50.53125
1.6375	-42.4625
1.64	-41.78125
1.6425	-49.9125
1.645	-60.34375
1.6475	-65.3875
1.65	-63.0625
1.6525	-56.275
1.655	-52.01875
1.6575	-56.26875
1.66	-65.0375
1.6625	-69.2125
1.665	-66.8
1.6675	-61.8
1.67	-57.29375
1.6725	-54.94375
1.675	-54.7125
1.6775	-53.6625
1.68	-45.81875
1.6825	-27.86875
1.685	-7.275
1.6875	0.94375
1.69	-10
1.6925	-31.4875
1.695	-49.81875
1.6975	-57.6625
1.7	-56.4875
